Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),INSDC_center_name,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id
ERR14655215,AMPLICON,172,11882614,PRJEB85606,SAMEA117687858,5379025,IKIM - UK-ESSEN,2022,public,"sra,run.zq,fastq,activ_sars2_vcf","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1,gs.us-east1",2025-02-24,2025-02-24,2025-02-24,ERX14056684,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-07T00:23:00Z,1,SAMEA117687858,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208843,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208843
ERR14655216,AMPLICON,168,48285151,PRJEB85606,SAMEA117687857,29405929,IKIM - UK-ESSEN,2022,public,"activ_sars2_vcf,fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,gs.US,ncbi.public,s3.us-east-1",2025-02-24,2025-02-24,2025-02-24,ERX14056685,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:47:00Z,1,SAMEA117687857,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208842,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208842
ERR14655217,AMPLICON,177,60692823,PRJEB85606,SAMEA117687856,37358097,IKIM - UK-ESSEN,2022,public,"activ_sars2_vcf,run.zq,sra,fastq","gs,s3,ncbi","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2025-02-24,2025-02-24,2025-02-24,ERX14056686,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-25T00:00:00Z,2025-03-06T13:54:00Z,1,SAMEA117687856,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208841,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208841
ERR14655218,AMPLICON,266,123354694,PRJEB85606,SAMEA117687855,75707736,IKIM - UK-ESSEN,2022,public,"run.zq,fastq,activ_sars2_vcf,sra","gs,ncbi,s3","gs.US,ncbi.public,gs.us-east1,s3.us-east-1",2025-02-24,2025-02-24,2025-02-24,ERX14056687,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:44:00Z,1,SAMEA117687855,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208840,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208840
ERR14655219,AMPLICON,212,71602302,PRJEB85606,SAMEA117687854,44700190,IKIM - UK-ESSEN,2022,public,"sra,activ_sars2_vcf,fastq,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public,gs.us-east1",2025-02-24,2025-02-24,2025-02-24,ERX14056688,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:52:00Z,1,SAMEA117687854,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208839,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208839
ERR14655220,AMPLICON,150,50909049,PRJEB85606,SAMEA117687853,31043004,IKIM - UK-ESSEN,2022,public,"run.zq,activ_sars2_vcf,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1,gs.US",2025-02-24,2025-02-24,2025-02-24,ERX14056689,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-07T00:22:00Z,1,SAMEA117687853,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208838,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208838
ERR14655221,AMPLICON,157,45707976,PRJEB85606,SAMEA117687852,28443903,IKIM - UK-ESSEN,2022,public,"run.zq,activ_sars2_vcf,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,gs.us-east1,ncbi.public",2025-02-24,2025-02-24,2025-02-24,ERX14056690,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:48:00Z,1,SAMEA117687852,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208837,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208837
ERR14655222,AMPLICON,127,29198165,PRJEB85606,SAMEA117687851,17434022,IKIM - UK-ESSEN,2022,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2025-02-24,2025-02-24,2025-02-24,ERX14056691,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:54:00Z,1,SAMEA117687851,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208836,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208836
ERR14655223,AMPLICON,274,24083906,PRJEB85606,SAMEA117687850,10860115,IKIM - UK-ESSEN,2022,public,"activ_sars2_vcf,sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US,gs.us-east1",2025-02-24,2025-02-24,2025-02-24,ERX14056692,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:50:00Z,1,SAMEA117687850,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208835,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208835
ERR14655224,AMPLICON,172,47880679,PRJEB85606,SAMEA117687849,29884964,IKIM - UK-ESSEN,2022,public,"sra,activ_sars2_vcf,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1,gs.US",2025-02-24,2025-02-24,2025-02-24,ERX14056693,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:54:00Z,1,SAMEA117687849,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208834,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:987-208834
