Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,purpose_of_ww_sampling,ReleaseDate,create_date,version,Sample Name,sequenced_by,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,collected_by
SRR34288894,AMPLICON,128,2003561983,PRJNA1283912,SAMN49704320,SARS-CoV-2: wastewater surveillance,1516449133,TECHNICAL UNIVERSITY OF DARMSTADT,2023-02-03,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX29459856,Germany,Europe,Germany:Berlin_Aircraft_manhole,Ion GeneStudio S5 Prime,wastewater,SAT_BER_FTGS_DOM_pool_20230203_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:57:00Z,1,SAT_BER_FTGS_DOM_pool_20230203_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,
SRR34288895,AMPLICON,129,2659717708,PRJNA1283912,SAMN49704434,SARS-CoV-2: wastewater surveillance,1975894047,TECHNICAL UNIVERSITY OF DARMSTADT,2023-02-16,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX29459855,Germany,Europe,Germany:Frankfurt_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_TER24h_20230216_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:58:00Z,1,SAT_FRA_TER24h_20230216_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,rep
SRR34288896,AMPLICON,112,1636998751,PRJNA1283912,SAMN49704403,SARS-CoV-2: wastewater surveillance,1192620559,TECHNICAL UNIVERSITY OF DARMSTADT,2023-02-09,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX29459854,Germany,Europe,Germany:Frankfurt_Lavatory_Truck,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_FTGS_pool_20230209_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:56:00Z,1,SAT_FRA_FTGS_pool_20230209_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,
SRR34288897,AMPLICON,144,2814573456,PRJNA1283912,SAMN49704407,SARS-CoV-2: wastewater surveillance,2070115691,TECHNICAL UNIVERSITY OF DARMSTADT,2023-02-15,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX29459853,Germany,Europe,Germany:Frankfurt_Lavatory_Truck,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_FTGS_pool_20230215_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:58:00Z,1,SAT_FRA_FTGS_pool_20230215_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,rep
SRR34288898,AMPLICON,88,84533761,PRJNA1283912,SAMN49704486,SARS-CoV-2: wastewater surveillance,68978537,TECHNICAL UNIVERSITY OF DARMSTADT,2023-04-24,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX29459852,Germany,Europe,Germany:Frankfurt_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_TERGS_20230424_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:55:00Z,1,SAT_FRA_TERGS_20230424_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,rep
SRR34288899,AMPLICON,112,234605409,PRJNA1283912,SAMN49704340,SARS-CoV-2: wastewater surveillance,176668620,TECHNICAL UNIVERSITY OF DARMSTADT,2023-04-14,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX29459851,Germany,Europe,Germany:Berlin_Aircraft_manhole,Ion GeneStudio S5 Prime,wastewater,SAT_BER_FTGS_DOM_pool_20230414_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:55:00Z,1,SAT_BER_FTGS_DOM_pool_20230414_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,rep
SRR34288900,AMPLICON,115,2496972435,PRJNA1283912,SAMN49704278,SARS-CoV-2: wastewater surveillance,1757842432,TECHNICAL UNIVERSITY OF DARMSTADT,2023-03-07,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX29459850,Germany,Europe,Germany:Frankfurt_Griesheim,Ion GeneStudio S5 Prime,wastewater,BMBF_EGLV_FRGR_20230307_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:58:00Z,1,BMBF_EGLV_FRGR_20230307_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,
SRR34288901,AMPLICON,161,3969915716,PRJNA1283912,SAMN49704364,SARS-CoV-2: wastewater surveillance,3022721085,TECHNICAL UNIVERSITY OF DARMSTADT,2023-03-24,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX29459849,Germany,Europe,Germany:Berlin_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_BER_TERGS_20230324_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:58:00Z,1,SAT_BER_TERGS_20230324_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,rep
SRR34288902,AMPLICON,157,2485643696,PRJNA1283912,SAMN49704471,SARS-CoV-2: wastewater surveillance,1792104843,TECHNICAL UNIVERSITY OF DARMSTADT,2023-01-10,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX29459848,Germany,Europe,Germany:Frankfurt_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_TER24h_B1_20230110_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:57:00Z,1,SAT_FRA_TER24h_B1_20230110_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,rep
SRR34288903,AMPLICON,151,1365239893,PRJNA1283912,SAMN49704312,SARS-CoV-2: wastewater surveillance,1004091139,TECHNICAL UNIVERSITY OF DARMSTADT,2023-01-27,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX29459847,Germany,Europe,Germany:Berlin_Aircraft_manhole,Ion GeneStudio S5 Prime,wastewater,SAT_BER_FTGS_DOM_pool_20230127_04,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:56:00Z,1,SAT_BER_FTGS_DOM_pool_20230127_04,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,rep4
SRR34288904,AMPLICON,150,2549383299,PRJNA1283912,SAMN49704412,SARS-CoV-2: wastewater surveillance,1921541917,TECHNICAL UNIVERSITY OF DARMSTADT,2023-03-17,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX29459846,Germany,Europe,Germany:Frankfurt_Lavatory_Truck,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_FTGS_pool_20230317_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:57:00Z,1,SAT_FRA_FTGS_pool_20230317_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,
SRR34288905,AMPLICON,112,1039568627,PRJNA1283912,SAMN49704332,SARS-CoV-2: wastewater surveillance,772044102,TECHNICAL UNIVERSITY OF DARMSTADT,2023-03-10,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX29459845,Germany,Europe,Germany:Berlin_Aircraft_manhole,Ion GeneStudio S5 Prime,wastewater,SAT_BER_FTGS_DOM_pool_20230310_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:55:00Z,1,SAT_BER_FTGS_DOM_pool_20230310_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,rep
SRR34288906,AMPLICON,113,1330630295,PRJNA1283912,SAMN49704398,SARS-CoV-2: wastewater surveillance,1071122178,TECHNICAL UNIVERSITY OF DARMSTADT,2023-02-02,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX29459844,Germany,Europe,Germany:Frankfurt_Lavatory_Truck,Ion Torrent Genexus,wastewater,SAT_FRA_FTGS_pool_20230202_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:55:00Z,1,SAT_FRA_FTGS_pool_20230202_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,rep
SRR34288907,AMPLICON,159,897568763,PRJNA1283912,SAMN49704281,SARS-CoV-2: wastewater surveillance,693812480,TECHNICAL UNIVERSITY OF DARMSTADT,2023-03-20,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX29459843,Germany,Europe,Germany:Frankfurt_Griesheim,Ion Torrent Genexus,wastewater,BMBF_EGLV_FRGR_20230320_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:55:00Z,1,BMBF_EGLV_FRGR_20230320_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,
SRR34288908,AMPLICON,139,1147791778,PRJNA1283912,SAMN49704346,SARS-CoV-2: wastewater surveillance,915081950,TECHNICAL UNIVERSITY OF DARMSTADT,2023-01-27,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX29459842,Germany,Europe,Germany:Berlin_Terminal,Ion Torrent Genexus,wastewater,SAT_BER_TER24h_20230127_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:55:00Z,1,SAT_BER_TER24h_20230127_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,rep
