Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),ENA-STATUS-ID (exp),ENA-STATUS-ID (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,organism,Platform,ReleaseDate,create_date,version,Sample Name,Scientific_Name,SRA Study
ERR16151761,OTHER,273,179254085,PRJEB106823,SAMEA120955746,48270070,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541282,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T17:20:00Z,1,S034,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151764,OTHER,279,1036644305,PRJEB106823,SAMEA120955749,276234099,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541285,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T21:29:00Z,1,S037,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151766,OTHER,274,399537186,PRJEB106823,SAMEA120955751,107165370,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541287,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T17:23:00Z,1,S039,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151767,OTHER,246,43172376,PRJEB106823,SAMEA120955752,11913372,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541288,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T21:13:00Z,1,S032,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151731,OTHER,262,104983318,PRJEB106823,SAMEA120955716,28537164,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541252,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T16:13:00Z,1,S003,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151741,OTHER,276,203785482,PRJEB106823,SAMEA120955726,54718284,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541262,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T16:16:00Z,1,S013,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151742,OTHER,269,125856204,PRJEB106823,SAMEA120955727,53133079,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541263,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T13:41:00Z,1,S014,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151756,OTHER,267,358677916,PRJEB106823,SAMEA120955741,150173931,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541277,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T12:14:00Z,1,S028,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151730,OTHER,273,202794167,PRJEB106823,SAMEA120955715,54437566,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541251,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T22:37:00Z,1,S002,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151732,OTHER,286,851764049,PRJEB106823,SAMEA120955717,227074370,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541253,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T19:03:00Z,1,S004,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151736,OTHER,271,256212299,PRJEB106823,SAMEA120955721,68954857,OTTAWA HOSPITAL RESEARCH INSTITUTE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541257,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T21:21:00Z,1,S008,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151738,OTHER,278,101176301,PRJEB106823,SAMEA120955723,42511715,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541259,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-15T06:32:00Z,1,S010,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151748,OTHER,279,423445833,PRJEB106823,SAMEA120955733,113285186,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541269,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T19:14:00Z,1,S020,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151750,OTHER,273,427150603,PRJEB106823,SAMEA120955735,178865347,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541271,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-15T23:46:00Z,1,S022,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151751,OTHER,275,376871422,PRJEB106823,SAMEA120955736,100978601,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541272,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T19:18:00Z,1,S023,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151752,OTHER,274,376097377,PRJEB106823,SAMEA120955737,100816764,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541273,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T19:19:00Z,1,S024,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151757,OTHER,268,56493487,PRJEB106823,SAMEA120955742,15392854,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541278,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T21:21:00Z,1,S029,Severe acute respiratory syndrome coronavirus 2,ERP187874
