Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR25886441,WGS,200,4304458200,PRJNA980445,SAMN37251705,SARS-CoV-2: wastewater surveillance,2563738432,UNIVERSITY OF VENDA,2021-06-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21606827,South Africa,Africa,"South Africa: Nkowankowa\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_55,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T10:16:00Z,1,NK01W25I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25886442,WGS,200,1061041600,PRJNA980445,SAMN37251704,SARS-CoV-2: wastewater surveillance,639143835,UNIVERSITY OF VENDA,2021-07-13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21606826,South Africa,Africa,"South Africa: Louis Trichardt\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_44,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T10:11:00Z,1,LT01W28I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25886443,WGS,200,763745000,PRJNA980445,SAMN37251703,SARS-CoV-2: wastewater surveillance,382546612,UNIVERSITY OF VENDA,2021-08-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21606825,South Africa,Africa,"South Africa: Tzaneen\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_86,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T10:11:00Z,1,TZ01W31I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25886444,WGS,200,1599834000,PRJNA980445,SAMN37251702,SARS-CoV-2: wastewater surveillance,808016493,UNIVERSITY OF VENDA,2021-04-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21606824,South Africa,Africa,"South Africa: Ga-Kgapane\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_32,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T10:12:00Z,1,KA01W29I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25886445,WGS,200,2515719400,PRJNA980445,SAMN37251701,SARS-CoV-2: wastewater surveillance,1548920210,UNIVERSITY OF VENDA,2021-07-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21606823,South Africa,Africa,"South Africa: Thohoyandou\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_76,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T10:13:00Z,1,TH01W30I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25886446,WGS,200,2370895200,PRJNA980445,SAMN37251700,SARS-CoV-2: wastewater surveillance,1433270480,UNIVERSITY OF VENDA,2021-05-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21606822,South Africa,Africa,"South Africa: Malamulel\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_49,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T10:14:00Z,1,MA01W19I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887146,WGS,200,1728525400,PRJNA980445,SAMN37253758,SARS-CoV-2: wastewater surveillance,929825124,UNIVERSITY OF VENDA,2021-05-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607535,South Africa,Africa,"South Africa: Siloam Hospital\,Limpopo",DNBSEQ-G400,Waste sedimentation pond,L01_65,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T14:22:00Z,1,SI01W19I_21,SRP441280,NA,0,sewer pipeline sediments,grab,yes,SARS-CoV-2
SRR25887147,WGS,200,3157781600,PRJNA980445,SAMN37253757,SARS-CoV-2: wastewater surveillance,1962282313,UNIVERSITY OF VENDA,2021-07-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607534,South Africa,Africa,"South Africa: Tzaneen\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_85,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T14:24:00Z,1,TZ01W29I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887148,WGS,200,3491342400,PRJNA980445,SAMN37253756,SARS-CoV-2: wastewater surveillance,1883537548,UNIVERSITY OF VENDA,2021-06-29,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607533,South Africa,Africa,"South Africa: Nkowankowa\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_56,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T14:27:00Z,1,NK01W26I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887149,WGS,200,2243476400,PRJNA980445,SAMN37253755,SARS-CoV-2: wastewater surveillance,1279380881,UNIVERSITY OF VENDA,2021-07-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607532,South Africa,Africa,"South Africa: Tzaneen\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_87,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T14:24:00Z,1,TZ01W34I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887150,WGS,200,912547000,PRJNA980445,SAMN37253754,SARS-CoV-2: wastewater surveillance,503372112,UNIVERSITY OF VENDA,2022-01-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607531,South Africa,Africa,"South Africa: Ga-Kgapane\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_24,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T14:22:00Z,1,KA01W02I_22,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887151,WGS,200,1153359400,PRJNA980445,SAMN37253753,SARS-CoV-2: wastewater surveillance,682851486,UNIVERSITY OF VENDA,2021-08-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607530,South Africa,Africa,"South Africa: Thohoyandou\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_77,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T14:23:00Z,1,TH01W31I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887152,WGS,200,1227977200,PRJNA980445,SAMN37253752,SARS-CoV-2: wastewater surveillance,718094173,UNIVERSITY OF VENDA,2021-12-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607529,South Africa,Africa,"South Africa: Malamulel\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_50,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T14:22:00Z,1,MA01W51I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
